Topic 1,Topic 2,Co-occurrence Count
העם היהודי,מעגל השנה,400.0
חיי אדם,פרשת השבוע,400.0
אישים,תרבות,399.5
Commandments,Rambam,399.0
Commandments,Maimonides,399.0
Teshuva,Yom Kippur,399.0
Rabbi Eliyahu Jian,רבי מיכאל מאור,397.5
High Holidays,Holidays,396.5
Mysticism,Zohar,396.5
ארץ ישראל,מעגל השנה,396.5
Chassidut,Kabbalah,396.0
Creation,Torah,396.0
Esther,Holidays,396.0
Exodus,Moses,396.0
Family,Maharat,396.0
Mitzvot,Rambam,396.0
Passover,Slavery,396.0
Pirkei Avot,Tanakh,396.0
Rabbi Michael Maor,Rabbi Yehuda Ashlag,395.0
Akeidah,Isaac,393.0
Rabbi Yehuda Ashlag,רבי מיכאל מאור,392.5
Abraham,Torah,392.0
Community,Moses,392.0
Community,d'Var Torah,392.0
Forgiveness,Repentance,392.0
God,d'Var Torah,392.0
Hebrew,Linguistics,392.0
Kindness,Love,392.0
Moshe,Shemot,392.0
Obligation,Tefilla,391.5
Prayer,Shabbat,391.5
Chassidut,Mysticism,391.0
Commandments,Thanksgiving,390.5
Hanukah,Light,390.5
Afterlife,Olam Haba,390.0
Kabbalat Shabbat,Mysticism,390.0
Korach,Shammai,390.0
Obligation,Tzedakah,390.0
Fasting,Mourning,388.5
Hebrew,Peshat,388.5
Queer,Trans Torah,388.5
Abraham,Tanakh,388.0
Food,God,388.0
Leadership,Rabbinic Authority,388.0
Gender,RJPS,385.0
High Holidays,Philosophy,385.0
Community,Wisdom,384.0
Debate,Korach,384.0
Ethics,God,384.0
Hannah,Prayer,384.0
Law,Rosh Hashanah,384.0
Magic,Sorcery,384.0
Teaching,Torah,384.0
פרשת השבוע,תרבות,384.0
Ten Sefirot,Vital Transformation,382.5
אמונות ודעות,תשובה,382.5
Bal Tashchit,Environment,382.0
אישים,יחיד וחברה,381.0
Food,Tzedakah,380.0
Hillel,Pirkei Avot,380.0
Justice,Love,380.0
Kindness,Torah,380.0
LGBTQ,Queer,380.0
Moses,Revelation,380.0
Rabbi Eliyahu Jian,Ten Sefirot,380.0
Sin,Yetzer Hara,380.0
Speech,Torah,380.0
אדם ומרחב,אמונות ודעות,380.0
אחריות וסולידריות,מעגל השנה,380.0
אמונות ודעות,ארץ ישראל,380.0
Blessings,Jacob,379.5
Creation,Redemption,379.5
Redemption,Tanakh,379.5
יחיד וחברה,שפה,379.5
Abraham,Covenant,378.0
Children,Mitzvot,378.0
Civil Discourse,Debate,378.0
Hebrew,RJPS,378.0
Hebrew,NJPS,378.0
Peshat,Tanakh,378.0
Rabbi Yehuda Tzvi Brandwein,קבלה,378.0
Talmud,תלמוד,378.0
קבלה,רבי מיכאל מאור,378.0
Parashat Vayikra,Vayikra,377.0
Pesach,Redemption,377.0
Community,Yom Kippur,376.0
Community,Talmud,376.0
Eating,Parashat Eikev,376.0
Ecology,Land,376.0
Gender,Transgender in Judaism,376.0
Purim,Women,376.0
חיי אדם,תרבות,376.0
